distance_from_center_km,area_m2,floor,district,rent_pln,price_pln
3.14,39.7,0,Praga-Południe,881,680013
2.27,38.1,4,Ochota,528,566471
12.41,61.0,3,Wawer,1326,588572
9.39,50.4,4,Ursus,759,693189
7.3,20.0,7,Targówek,250,265281
10.02,50.2,9,Ursynów,445,631716
13.16,45.7,14,Wawer,663,526166
6.1,71.1,13,Żoliborz,1177,1251831
6.23,44.9,3,Praga-Południe,467,740239
10.19,100.7,10,Bemowo,1935,1369746
2.92,80.1,3,Wola,1457,1375786
5.29,48.0,14,Praga-Południe,694,734735
9.78,75.7,2,Targówek,1338,618858
7.15,64.5,6,Targówek,982,828089
9.41,59.2,2,Ursynów,1171,718538
5.42,69.4,11,Żoliborz,1053,1101234
5.01,56.0,2,Ochota,854,949768
7.6,59.3,10,Ursynów,887,821019
10.26,69.8,9,Ursynów,1030,939767
1.83,91.9,4,Wola,1405,1640493
4.97,59.5,4,Praga-Północ,543,995849
5.14,46.8,13,Żoliborz,672,752077
5.98,20.0,5,Mokotów,382,338973
7.55,90.3,15,Ursynów,1252,1182447
14.71,50.3,7,Białołęka,762,571890
11.3,64.6,15,Wilanów,1290,1051283
4.23,89.3,9,Praga-Północ,1366,1273267
4.02,59.1,5,Mokotów,903,1226574
15.1,51.5,14,Białołęka,1023,585933
4.64,80.6,15,Żoliborz,1431,1240351
0.3,63.3,15,Śródmieście,577,1500734
12.92,65.5,11,Białołęka,1066,757026
8.37,27.6,0,Bemowo,250,284048
5.81,76.7,14,Praga-Północ,882,1239570
14.6,61.8,7,Wawer,1018,722930
15.59,30.3,15,Białołęka,250,250000
8.28,63.7,7,Bielany,472,854253
2.1,20.0,8,Śródmieście,368,444311
6.63,97.2,8,Targówek,1230,1353252
8.01,35.2,1,Targówek,349,386411
11.54,84.0,14,Ursus,1676,1201337
7.71,40.4,1,Bemowo,637,633591
14.25,65.1,2,Białołęka,851,705777
16.02,38.6,0,Białołęka,787,268905
11.67,72.9,3,Ursus,718,878841
11.1,50.8,13,Wilanów,767,706148
7.06,63.4,3,Wilanów,540,947776
12.87,55.3,13,Ursus,707,629944
9.78,30.4,8,Wilanów,448,481090
2.08,64.1,8,Wola,817,1233613
13.79,45.9,8,Białołęka,643,440859
4.22,73.8,9,Praga-Południe,794,891223
5.26,50.8,6,Ochota,641,775211
7.6,53.6,13,Bielany,758,690107
2.11,85.3,14,Wola,1528,1442132
4.3,97.9,1,Żoliborz,1725,1694007
4.34,69.1,9,Wola,1040,1193167
6.16,49.8,4,Praga-Południe,846,837102
2.81,48.3,3,Żoliborz,665,831902
8.56,40.3,11,Bielany,517,534186
4.89,43.7,10,Praga-Południe,484,608847
2.41,50.1,7,Mokotów,915,912068
5.8,90.4,1,Ochota,1041,1370684
8.55,51.5,5,Bielany,949,654774
13.91,32.9,12,Białołęka,521,361876
9.59,55.7,4,Wilanów,855,890166
6.68,58.2,15,Mokotów,1048,1173775
12.7,55.6,14,Bemowo,922,613905
8.54,69.4,15,Bielany,1020,929827
7.76,56.2,15,Bemowo,596,830444
4.31,68.8,15,Żoliborz,988,1269251
5.52,41.0,11,Mokotów,592,686546
1.18,87.1,1,Ochota,1479,1547228
14.4,59.5,10,Białołęka,668,632542
11.52,62.2,9,Ursus,1012,664798
15.59,40.9,14,Białołęka,345,487974
7.47,63.5,0,Praga-Południe,898,875573
14.13,66.7,7,Białołęka,1042,549594
14.82,33.9,1,Wawer,433,341693
11.44,25.1,6,Ursynów,414,370448
11.03,60.3,8,Ursus,922,624120
3.5,46.2,8,Wola,440,790280
7.88,59.7,7,Wilanów,1005,1118995
0.3,31.8,10,Śródmieście,451,720891
2.99,26.9,13,Ochota,403,441140
4.47,58.7,11,Mokotów,947,1036007
7.68,48.7,9,Ursynów,488,656949
3.96,20.0,8,Ochota,420,336656
4.5,79.2,1,Mokotów,853,917331
11.29,31.5,5,Wilanów,521,562708
3.43,101.3,3,Praga-Północ,1540,1523706
1.26,43.8,13,Praga-Północ,817,733020
9.15,62.2,3,Bemowo,825,759446
3.98,84.6,4,Ochota,764,1369648
2.97,81.6,11,Praga-Północ,1299,1203806
13.11,90.8,15,Wawer,1405,903039
9.71,27.6,2,Ursus,623,283259
5.4,34.6,13,Mokotów,461,672253
12.16,59.1,0,Bemowo,562,580074
11.83,70.1,7,Białołęka,808,684245
4.38,54.8,4,Mokotów,604,944257
8.19,25.5,2,Bemowo,616,350216
9.48,63.9,9,Wilanów,905,714337
5.22,51.5,15,Ochota,652,898680
10.65,51.3,13,Wilanów,918,771096
12.02,20.0,6,Ursus,250,263326
11.04,69.4,6,Ursus,1034,863898
7.41,57.6,0,Ursynów,512,751976
8.66,87.3,11,Wilanów,1370,1304606
6.9,53.7,8,Praga-Południe,1030,709569
14.2,65.2,14,Białołęka,585,653172
9.51,70.0,1,Bielany,1026,886132
10.35,23.6,4,Wilanów,546,383742
7.58,102.1,12,Ursynów,1625,1533436
3.87,47.2,13,Żoliborz,877,788446
13.68,63.9,4,Wawer,1042,713370
5.85,66.5,13,Mokotów,590,1264916
12.03,40.3,7,Ursus,585,409471
3.24,88.2,13,Żoliborz,1452,1645116
7.56,59.8,7,Ursynów,774,833400
8.77,51.2,13,Bemowo,498,640613
9.73,57.5,6,Bielany,545,804664
13.17,68.8,6,Białołęka,1079,663555
14.55,55.2,11,Białołęka,609,749781
14.55,70.9,15,Białołęka,1215,780076
13.91,24.7,10,Wawer,336,250000
10.0,41.5,15,Bielany,541,601271
14.87,20.0,5,Wawer,442,250000
10.29,90.9,5,Ursus,1169,1195053
10.48,90.7,10,Wawer,1103,943111
0.3,66.3,8,Śródmieście,1010,1415949
8.09,36.8,5,Bielany,882,534686
5.57,98.0,11,Praga-Południe,1187,1382216
10.36,44.1,12,Bielany,630,451661
9.02,51.2,12,Ursynów,674,646926
1.78,57.9,1,Śródmieście,791,1279378
14.26,63.1,1,Białołęka,926,612062
8.58,66.6,12,Ursynów,1192,886789
6.69,67.3,4,Ursynów,900,1049970
10.91,52.4,14,Ursus,570,591090
